Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,142.115005,142.733994,142.115005,142.102997,142.102997,0
2020-01-28,142.244003,142.434998,141.494995,142.238998,142.238998,0
2020-01-29,142.121002,142.205994,141.707001,142.128998,142.128998,0
2020-01-30,141.921997,142.677994,141.264008,141.910995,141.910995,0
2020-01-31,142.505005,143.279999,142.505005,142.460999,142.460999,0
2020-02-03,142.837006,143.097000,141.132004,142.843002,142.843002,0
2020-02-04,141.139999,142.542007,140.970001,141.151993,141.151993,0
2020-02-05,142.613998,143.332993,142.240005,142.610001,142.610001,0
2020-02-06,142.710999,142.802994,142.080002,142.690002,142.690002,0
2020-02-07,142.156998,142.354996,141.615005,142.162994,142.162994,0
2020-02-10,141.291000,142.074005,141.270004,141.328003,141.328003,0
2020-02-11,141.740005,142.442001,141.679993,141.759995,141.759995,0
2020-02-12,142.279999,142.876007,142.227005,142.304993,142.304993,0
2020-02-13,142.348007,143.464996,142.139999,142.317993,142.317993,0
2020-02-14,143.205002,143.393997,142.778000,143.160004,143.160004,0
2020-02-17,143.248001,143.332001,142.873993,143.289001,143.289001,0
2020-02-18,142.800003,143.214996,142.332001,142.830002,142.830002,0
2020-02-19,142.889999,143.945999,142.809998,142.886993,142.886993,0
2020-02-20,143.733994,144.574997,143.612000,143.740005,143.740005,0
2020-02-21,144.218994,144.938004,143.763000,144.214996,144.214996,0
2020-02-24,144.477997,144.600006,142.811996,144.494003,144.494003,0
2020-02-25,143.287003,143.610001,143.046997,143.283997,143.283997,0
2020-02-26,143.375000,143.699005,142.591003,143.393997,143.393997,0
2020-02-27,142.427002,142.533997,141.382004,142.429993,142.429993,0
2020-02-28,141.319000,141.328003,137.602005,141.328003,141.328003,0
2020-03-02,137.964996,139.153000,137.164993,137.910995,137.910995,0
2020-03-03,138.432999,138.466003,137.210007,138.492996,138.492996,0
2020-03-04,137.259003,137.975006,137.242004,137.220001,137.220001,0
2020-03-05,138.559006,138.559006,137.781006,138.600998,138.600998,0
2020-03-06,137.595001,137.729004,136.447006,137.582993,137.582993,0
2020-03-09,136.149994,136.292999,132.682007,136.117996,136.117996,0
2020-03-10,134.774994,137.162003,134.095993,134.789001,134.789001,0
